1)
SELEÇÃO

0. JAIR, VALDIR, CARLOS, JORGE, BIA, ANA, ZÉLIA, MANOEL, CARLA
1. ANA, VALDIR, CARLOS, JORGE, BIA, JAIR, ZÉLIA, MANOEL, CARLA
2. ANA, BIA, CARLOS, JORGE, VALDIR, JAIR, ZÉLIA, MANOEL, CARLA
3. ANA, BIA, CARLA, JORGE, VALDIR, JAIR, ZÉLIA, MANOEL, CARLOS
4. ANA, BIA, CARLA, CARLOS, VALDIR, JAIR, ZÉLIA, MANOEL, JORGE
5. ANA, BIA, CARLA, CARLOS, VALDIR, JAIR, ZÉLIA, MANOEL, JORGE
6. ANA, BIA, CARLA, CARLOS, JAIR, VALDIR, ZÉLIA, MANOEL, JORGE
7. ANA, BIA, CARLA, CARLOS, JAIR, JORGE, ZÉLIA, MANOEL, VALDIR
8. ANA, BIA, CARLA, CARLOS, JAIR, JORGE, MANOEL, ZÉLIA, VALDIR
9. ANA, BIA, CARLA, CARLOS, JAIR, JORGE, MANOEL, VALDIR, ZÉLIA
10. ANA, BIA, CARLA, CARLOS, JAIR, JORGE, MANOEL, VALDIR, ZÉLIA

INSERÇÃO

0. JAIR, VALDIR, CARLOS, JORGE, BIA, ANA, ZÉLIA, MANOEL, CARLA
1. JAIR, VALDIR, CARLOS, JORGE, BIA, ANA, ZÉLIA, MANOEL, CARLA
2. CARLOS, JAIR, VALDIR, JORGE, BIA, ANA, ZÉLIA, MANOEL, CARLA
3. CARLOS, JAIR, JORGE, VALDIR, BIA, ANA, ZÉLIA, MANOEL, CARLA
4. BIA, CARLOS, JAIR, JORGE, VALDIR, ANA, ZÉLIA, MANOEL, CARLA
5. ANA, BIA, CARLOS, JAIR, JORGE, VALDIR, ZÉLIA, MANOEL, CARLA
6. ANA, BIA, CARLOS, JAIR, JORGE, VALDIR, ZÉLIA, MANOEL, CARLA
7. ANA, BIA, CARLOS, JAIR, JORGE, MANOEL, VALDIR, ZÉLIA, CARLA
8. ANA, BIA, CARLA, CARLOS, JAIR, JORGE, MANOEL, VALDIR, ZÉLIA

TROCA

0. JAIR, VALDIR, CARLOS, JORGE, BIA, ANA, ZÉLIA, MANOEL, CARLA
1. JAIR, VALDIR, CARLOS, JORGE, BIA, ANA, ZÉLIA, MANOEL, CARLA
2. JAIR, CARLOS, VALDIR, JORGE, BIA, ANA, ZÉLIA, MANOEL, CARLA
3. JAIR, CARLOS, JORGE, VALDIR, BIA, ANA, ZÉLIA, MANOEL, CARLA
4. JAIR, CARLOS, JORGE, BIA, VALDIR, ANA, ZÉLIA, MANOEL, CARLA
5. JAIR, CARLOS, JORGE, BIA, ANA, VALDIR, ZÉLIA, MANOEL, CARLA
6. JAIR, CARLOS, JORGE, BIA, ANA, VALDIR, ZÉLIA, MANOEL, CARLA
7. JAIR, CARLOS, JORGE, BIA, ANA, VALDIR, MANOEL, ZÉLIA, CARLA
8. JAIR, CARLOS, JORGE, BIA, ANA, VALDIR, MANOEL, CARLA, ZÉLIA
9. CARLOS, JAIR, JORGE, BIA, ANA, VALDIR, MANOEL, CARLA, ZÉLIA
10. CARLOS, JAIR, JORGE, BIA, ANA, VALDIR, MANOEL, CARLA, ZÉLIA
11. CARLOS, JAIR, BIA, JORGE, ANA, VALDIR, MANOEL, CARLA, ZÉLIA
12. CARLOS, JAIR, BIA, ANA, JORGE, VALDIR, MANOEL, CARLA, ZÉLIA
13. CARLOS, JAIR, BIA, ANA, JORGE, VALDIR, MANOEL, CARLA, ZÉLIA
14. CARLOS, JAIR, BIA, ANA, JORGE, MANOEL, VALDIR, CARLA, ZÉLIA
15. CARLOS, JAIR, BIA, ANA, JORGE, MANOEL, CARLA, VALDIR, ZÉLIA
16. CARLOS, JAIR, BIA, ANA, JORGE, MANOEL, CARLA, VALDIR, ZÉLIA
17. CARLOS, BIA, JAIR, ANA, JORGE, MANOEL, CARLA, VALDIR, ZÉLIA
18. CARLOS, BIA, ANA, JAIR, JORGE, MANOEL, CARLA, VALDIR, ZÉLIA
19. CARLOS, BIA, ANA, JAIR, JORGE, MANOEL, CARLA, VALDIR, ZÉLIA
20. CARLOS, BIA, ANA, JAIR, JORGE, MANOEL, CARLA, VALDIR, ZÉLIA
21. CARLOS, BIA, ANA, JAIR, JORGE, CARLA, MANOEL, VALDIR, ZÉLIA
22. CARLOS, BIA, ANA, JAIR, JORGE, CARLA, MANOEL, VALDIR, ZÉLIA
23. BIA, CARLOS, ANA, JAIR, JORGE, CARLA, MANOEL, VALDIR, ZÉLIA
24. BIA, ANA, CARLOS, JAIR, JORGE, CARLA, MANOEL, VALDIR, ZÉLIA
25. BIA, ANA, CARLOS, JAIR, JORGE, CARLA, MANOEL, VALDIR, ZÉLIA
26. BIA, ANA, CARLOS, JAIR, CARLA, JORGE, MANOEL, VALDIR, ZÉLIA
27. BIA, ANA, CARLOS, JAIR, CARLA, JORGE, MANOEL, VALDIR, ZÉLIA
28. ANA, BIA, CARLOS, JAIR, CARLA, JORGE, MANOEL, VALDIR, ZÉLIA
29. ANA, BIA, CARLOS, CARLA, JAIR, JORGE, MANOEL, VALDIR, ZÉLIA
30. ANA, BIA, CARLOS, CARLA, JAIR, JORGE, MANOEL, VALDIR, ZÉLIA
31. ANA, BIA, CARLOS, CARLA, JAIR, JORGE, MANOEL, VALDIR, ZÉLIA
32. ANA, BIA, CARLOS, CARLA, JAIR, JORGE, MANOEL, VALDIR, ZÉLIA
33. ANA, BIA, CARLA, CARLOS, JAIR, JORGE, MANOEL, VALDIR, ZÉLIA

2)
0. ANA, BIA, CARLA, CARLOS, JAIR, JORGE, MANOEL, VALDIR, ZÉLIA
1. JORGE, MANOEL, VALDIR, ZÉLIA
2. JORGE
